"url","depth","content_type","raw_file"
"https://daihoc.fpt.edu.vn/chuyen-nganh/tri-tue-nhan-tao-va-khoa-hoc-du-lieu/","1","text/html","data/raw/fpt_admission/html/fcf33216e341456497f17ee8.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/truyen-thong-da-phuong-tien/","1","text/html","data/raw/fpt_admission/html/40fcd8179d01fca317c45ce9.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/truyen-thong-thuong-hieu/","1","text/html","data/raw/fpt_admission/html/b678509cad0f98246e2d1093.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/vi-mach-ban-dan/","1","text/html","data/raw/fpt_admission/html/c0672b24b8c4aba518fcdf06.html"
"https://daihoc.fpt.edu.vn/dang-ky-dai-hoc-fpt","1","text/html","data/raw/fpt_admission/html/7dd0b816881dcc9a154317ee.html"
"https://daihoc.fpt.edu.vn/dang-ky-hoc-bong/","1","text/html","data/raw/fpt_admission/html/2770bba009967a933b3a73fc.html"
"https://daihoc.fpt.edu.vn/dang-ky-hoc-bong/gioi-thieu-ung-vien","1","text/html","data/raw/fpt_admission/html/52aafc06f10a89a01b8c40bd.html"
"https://daihoc.fpt.edu.vn/dang-ky-hoc-bong/nop-ho-so","1","text/html","data/raw/fpt_admission/html/5fb27f78c8645f876398d8de.html"
"https://daihoc.fpt.edu.vn/dang-ky-tu-van-tuyen-sinh-2026","1","text/html","data/raw/fpt_admission/html/42e069d44f5689538b908972.html"
"https://daihoc.fpt.edu.vn/dang-ky-tu-van-tuyen-sinh-2026/","1","text/html","data/raw/fpt_admission/html/5f3c221c169f6bd65683e0f1.html"
"https://daihoc.fpt.edu.vn/hcm/hoc-bong-quoc-te/","1","text/html","data/raw/fpt_admission/html/844cb6266fd16c717b0d4852.html"
"https://daihoc.fpt.edu.vn/hcm/hoc-bong-sv-doanh-nghiep/","1","text/html","data/raw/fpt_admission/html/59a9338d4d002916219789b6.html"
"https://daihoc.fpt.edu.vn/hcm/thong-bao-tuyen-sinh/","1","text/html","data/raw/fpt_admission/html/6bf57e3ab49bdd6d09ddf717.html"
"https://daihoc.fpt.edu.vn/hcm/ve-fptu/","1","text/html","data/raw/fpt_admission/html/f69097a09b3d4dff9de12dce.html"
"https://daihoc.fpt.edu.vn/hoc-bong","1","text/html","data/raw/fpt_admission/html/9805b954caefdbcca663edbb.html"
"https://daihoc.fpt.edu.vn/hoc-bong/hoc-bong-ban-linh-the-he/","1","text/html","data/raw/fpt_admission/html/c919b802700fd84e9d94f2e4.html"
"https://daihoc.fpt.edu.vn/hoc-bong/hoc-bong-chien-binh-cong-nghe/","1","text/html","data/raw/fpt_admission/html/53a3d2be20576db5edbed1c4.html"
"https://daihoc.fpt.edu.vn/hoc-bong/hoc-bong-nha-lanh-dao-tre/","1","text/html","data/raw/fpt_admission/html/675cc432c1bdfad71b0ee905.html"
"https://daihoc.fpt.edu.vn/hoc-bong/hoc-bong-tai-nang-khoi-nghiep/","1","text/html","data/raw/fpt_admission/html/d2cfd6a0579daee7d072f385.html"
"https://daihoc.fpt.edu.vn/hoc-bong/hoc-bong-tinh-hoa-cong-nghe/","1","text/html","data/raw/fpt_admission/html/b9d3c6dea79afb2b180356ca.html"
"https://daihoc.fpt.edu.vn/hoc-bong/hoc-bong-tin-hoa-mo-loi/","1","text/html","data/raw/fpt_admission/html/3d8350810cbd9264db163a4c.html"
"https://daihoc.fpt.edu.vn/hoc-phi-tai-campus-ha-noi/","1","text/html","data/raw/fpt_admission/html/9b920192ab8d165971916f14.html"
"https://daihoc.fpt.edu.vn/huong-nghiep/ngon-ngu-han-hoc-truong-nao/","1","text/html","data/raw/fpt_admission/html/f80eae6a8ca8cbaf7e35f250.html"
"https://daihoc.fpt.edu.vn/nganh-hoc/cong-nghe-thong-tin/","1","text/html","data/raw/fpt_admission/html/4d5c8098d8c2c36cdfa2a2b9.html"
"https://daihoc.fpt.edu.vn/nganh-hoc/cong-nghe-truyen-thong/","1","text/html","data/raw/fpt_admission/html/ea233a4c3f4a685b21adfdea.html"
"https://daihoc.fpt.edu.vn/nganh-hoc/khoa-hoc-may-tinh/","1","text/html","data/raw/fpt_admission/html/c0b6ac4366b43cf6bc9a00bf.html"
"https://daihoc.fpt.edu.vn/nganh-hoc/luat/","1","text/html","data/raw/fpt_admission/html/a1102f6ecc3cb62f5828b8ac.html"
"https://daihoc.fpt.edu.vn/nganh-hoc/ngon-ngu/","1","text/html","data/raw/fpt_admission/html/a33961d83beb513a083865e8.html"
